Firm_Name,Firm_Address,Manager,Password,Pass_Check,Firm_Id,User_Type,Client_Access
bionism,4794 drainer avenue,curtis w schwenk,curtis,curtis,337513922,firm,User
spinuke,2173 peck court,richard e mobley,richard,richard,346131592,firm,User
histics,3530 grove avenue,jesse s ruiz,jesse,jesse,266769273,firm,User
neowire,346 young road,mona j wheless,mona,mona,530668176,firm,User
digies,1844 stiles street,waltraud a morrison,waltraud,waltraud,887911665,firm,User
nerdalytics,2470 clay street,susan m brown,susan,susan,194737179,firm,User
exowire,4583 chatham way,lonnie m boyd,lonnie,lonnie,108760343,firm,User
microvox,801  hope street,esperanza h max,esperanza,esperanza,367132817,firm,User
telecoil,4934  fittro street,william a battle,william,william,350561484,firm,Employee
digitech,4418  white oak drive,bradford j lovett,bradford,bradford,367579080,firm,User
cryptech,1303  fairfield road,john n daly,john,john,195568949,firm,User
dynatech,2669  sardis sta,barbara c clegg,barbara,barbara,505561414,firm,User
audionics,2897  armbrester drive,justine d evans,justine,justine,990563697,firm,User
qunatumcore,751  mcwhorter road,julio c johnson,julio,julio,218460977,firm,User
fadromi eood,ki4ika maina 25,da4ko,1234,1234,41861746,firm,User
