First_Name,Last_Name,User_Address,User_Email,User_Phone,Password,Pass_Check,User_Id,User_Access,User_Type
da4ko,petrov,4794 drainer avenue,da4kodabest@abv.bg,0899135186,imdabest,imdabest,2301269978,Admin,individual
ki4ka,paunova,2173 peck court,nz@abv.bg,0899531168,ohnz,ohnz,3202167280,Employee,individual
inokentii,nqma,3530 grove avenue,pope@abv.bg,0899168531,amin,amin,4001269978,User,individual
gustavo,mehikano,346 young road,hispania@abv.mxc,0899057385,porfavor,porfavor,8609073589,User,individual
ronaldo,toolong,1844 stiles street,zlatnotokopito@abv.bg,0899077355,football,football,6012251234,User,individual
batman,wayne,2470 clay street,batpost@abv.bg,0899070353,secret,secret,7211064437,Employee,individual
natsu,dragneel,2676 angus road,drake@abv.bg,0899135790,dragonslayer,dragonslayer,9010183208,User,individual
alphonse,elric,4180 romano street,FMalchemist@abv.bg,0899246801,metal,metal,9805158965,User,individual
light,yagami,2684 pretty view lane,kira@abv.bg,0899102938,death,death,0507066852,User,individual
eren,yeager,2005 high meadow lane,titanking@abv.bg,0899938576,humanity,humanity,2506043698,User,individual
roronoa,zoro,2222 charles street,swordmaster@abv.bg,0899850264,yubashiri,yubashiri,5807023246,User,individual
mikasa,ackerman,414 southern avenue,titanslayer@abv.bg,0899864086,scarf,scarf,6101235817,User,individual
dimitri4ka,karagiozova,1247 fort street,dimi@abv.bg,0899356487,kifla,kifla,5808317746,User,individual
kenpachi,zaraki,120 lena lane,shinigami@abv.bg,0899563209,bankai,bankai,1608317943,User,individual
winry,Rockbell,497 maple court,mech@abv.bg,0899769854,mechanic,mechanic,4102097449,User,individual
lucy,heartfilia,4356 patton lane,luci@abv.bg,0899150375,summoner,summoner,7502059367,User,individual
jesus,christ,2607 scenic way,sonofgod@abv.bg,7777777777,god,god,0407203214,Admin,individual
riza,hawkeye,4682 sunny day drive,hawkeye@abv.bg,0899359175,adjutant,adjutant,3412196305,User,individual
nico,robin,3492 lawman avenue,devil@abv.bg,0899789245,poneglyph,poneglyph,4302121134,User,individual
erza,scarlet,705 morgan street,scarlet@abv.bg,0899864108,armor,armor,2507222522,User,individual
touka,kirishima,305 joes road,tokyoghoul@abv.bg,0899654198,ghoul,ghoul,8903252123,User,individual
ty,lee,2382 benedum drive,tylee@abv.bg,0899145790,bender,bender,3603034312,User,individual
mira,armstrong,1291 simpson avenue,armstrong@abv.bg,0899540831,generations,generations,3203182237,User,individual
vincent,valantine,2686 duncan avenue,vince@abv.bg,0899671351,stigma,stigma,8303064649,User,individual
rin,nohara,1261  everette alley,rin@abv.bg,0899764345,dream,dream,3805257718,Employee,individual
rize,kamishiro,1099 bastin drive,rize@abv.bg,0899158935,cannibal,cannibal,7801261176,User,individual
inokentii,nqma,Idfd,fadfas,141441,123,123,1441551,User,individual
kondio,djingibi,4507 raver croft drive,doko@abv.bg,0899007733,doko,doko,5207228283,Employee
